Instance,BKS,OPT Proven,TreeSearch,DR_Min,DR_Avg,DR_Max
demo_0,4,TRUE,4,4,4,4
demo_1,3,TRUE,3,3,3,3
demo_3,3,TRUE,3,3,3,3
osdpm_0_1,1,TRUE,1,1,1,1
osdpm_0_2,1,TRUE,1,1,1,1
osdpm_0_3,3,FALSE,3,3,3,3
osdpm_0_4,2,TRUE,2,2,2,2
osdpm_0_5,2,TRUE,2,2,2,2
osdpm_1_1,3,TRUE,3,3,3,3
osdpm_1_2,1,TRUE,1,1,1,1
osdpm_1_3,1,TRUE,1,1,1,1
osdpm_1_4,9,FALSE,10,9,9,9
osdpm_1_5,1,TRUE,1,1,1,1
osdpm_2_1,1,TRUE,1,1,1,1
osdpm_2_2,1,TRUE,1,1,1,1
osdpm_2_3,1,TRUE,1,1,1,1
osdpm_2_4,1,TRUE,1,1,1,1
osdpm_2_5,3,TRUE,3,3,3,3
osdpm_3_1,1,TRUE,1,1,1,1
osdpm_3_2,1,TRUE,1,1,1,1
osdpm_3_3,1,TRUE,1,1,1,1
osdpm_3_4,1,TRUE,1,1,1,1
osdpm_3_5,4,TRUE,4,4,4,4
osdpm_4_1,4,TRUE,5,4,4,4
osdpm_4_2,4,TRUE,4,4,4,4
osdpm_4_3,3,TRUE,3,3,3,3
osdpm_4_4,1,TRUE,1,1,1,1
osdpm_4_5,1,TRUE,1,1,1,1
bbox1_1,6,TRUE,6,6,6,6
bbox1_2,10,FALSE,10,10,10,10
bbox1_3,2,TRUE,2,2,2,2
bbox1_4,9,FALSE,10,9,9,9
bbox1_5,7,TRUE,7,7,7,7
bbox1_7,8,TRUE,8,8,8,8
bbox1_8,4,TRUE,4,4,4,4
bbox1_9,5,TRUE,5,5,5,5
bbox1_10,10,FALSE,14,10,10,10
bbox1_p1,17,FALSE,19,17,17,17
bbox1_p2,11,FALSE,12,11,11,11
bbox1_p3,2,TRUE,2,2,2,2
bbox1_p4,18,FALSE,19,18,18,18
bbox1_p5,7,TRUE,7,7,7,7
bbox1_p6,9,TRUE,9,9,9,9
bbox1_p7,10,FALSE,11,10,10,10
bbox1_p8,14,FALSE,19,14,14,14
bbox1_p9,7,TRUE,7,7,7,7
bbox1_p10,10,FALSE,10,10,10,10
bbox2-short_1,3,TRUE,3,3,3,3
bbox2-short_2,4,TRUE,4,4,4,4
bbox2-short_3,7,FALSE,7,7,7,7
bbox2-short_4,3,TRUE,3,3,3,3
bbox2-short_5,6,TRUE,6,6,6,6
bbox2-short_6,2,TRUE,2,2,2,2
bbox2-short_7,3,TRUE,3,3,3,3
bbox2-short_8,5,TRUE,5,5,5,5
bbox2-short_9,9,TRUE,9,9,9,9
bbox2-short_10,6,TRUE,6,6,6,6
bbox2-long_1,11,FALSE,12,11,11,11
bbox2-long_2,16,FALSE,19,16,16,16
bbox2-long_3,5,FALSE,6,5,5,5
bbox2-long_4,6,TRUE,8,6,6,6
bbox2-long_5,14,FALSE,14,14,14,14
bbox2-long_6,14,TRUE,18,14,14,14
bbox2-long_7,14,FALSE,21,14,14,14
bbox2-long_8,13,FALSE,16,13,13,13
bbox2-long_9,7,FALSE,9,7,7,7
bbox2-long_10,8,FALSE,8,8,8,8
bbox3_1,17,FALSE,27,17,17.8,18
bbox3_2,33,FALSE,45,33,33.8,35
bbox3_3,13,FALSE,17,13,13,13
bbox3_4,34,FALSE,47,34,34.7,37
bbox3_5,42,FALSE,54,42,42.7,44
bbox3_6,41,FALSE,50,41,42.3,43
bbox3_7,19,FALSE,21,19,19,19
bbox3_8,19,FALSE,23,19,19.5,20
bbox3_9,14,FALSE,15,14,14,14
bbox3_10,25,FALSE,38,25,25.4,26
bbox3_0.15_bike_1,4,FALSE,5,4,4,4
bbox3_0.15_bike_2,16,FALSE,22,16,16,16
bbox3_0.15_bike_3,5,FALSE,6,5,5,5
bbox3_0.15_bike_4,17,FALSE,28,17,17.8,18
bbox3_0.15_bike_5,18,FALSE,35,18,19.3,21
bbox3_0.15_bike_6,19,FALSE,22,19,19.4,20
bbox3_0.15_bike_7,10,FALSE,11,10,10,10
bbox3_0.15_bike_8,12,FALSE,16,12,12.1,13
bbox3_0.15_bike_9,7,FALSE,11,7,7.9,8
bbox3_0.15_bike_10,3,FALSE,3,3,3,3
